Category,Part,Qty
Transistors,NKT275,1
Transistors,2N3904,1
Transistors,2N5088,1
Transistors,2N5457,1
Diodes,LED,7
Diodes,1N4001,9
Diodes,1N4148,8
Diodes,1N5817,8
Diodes,1N914,8
Capacitors,30p,5
Capacitors,100p,5
Capacitors,150p,5
Capacitors,1n,5
Capacitors,3.3n,5
Capacitors,10n,5
Capacitors,18n,5
Capacitors,22n,5
Capacitors,100n,10
Capacitors,1u,1
Capacitors,2.2u,1
Capacitors,4.7u,1
Capacitors,10u,1
Capacitors,22u,1
Capacitors,47u,1
Capacitors,100u,1
Resistors,47,7
Resistors,100,9
Resistors,390,6
Resistors,470,9
Resistors,560,9
Resistors,1k,6
Resistors,1.5k,9
Resistors,2.7k,9
Resistors,3.3k,7
Resistors,4.7k,6
Resistors,10k,5
Resistors,11k,9
Resistors,16k,9
Resistors,22k,7
Resistors,33k,9
Resistors,43k,8
Resistors,47k,9
Resistors,100k,6
Resistors,430k,8
Resistors,1M,7
Resistors,2.2M,8
Hardware/Misc,DIP SOCKET (Check Size),1
