Category,Part,BOM Qty,In Stock,Net Need,Buy Qty,Notes,Search Term,Tayda_Link,Origin
PCB,Paper Scratcher Fuzz PCB,1,0,1,1,Main Board,Paper Scratcher Fuzz PCB,"=HYPERLINK(""https://www.pedalpcb.com/?product_cat=&s=Paper+Scratcher+Fuzz&post_type=product"", ""Buy"")",Circuit Board
PCB,RAT DIY PCB,1,0,1,1,Main Board,RAT DIY PCB,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=RAT+DIY+PCB"", ""Buy"")",Circuit Board
PCB,Sunflower Fuzz PCB,1,0,1,1,Main Board,Sunflower Fuzz PCB,"=HYPERLINK(""https://www.pedalpcb.com/?product_cat=&s=Sunflower+Fuzz&post_type=product"", ""Buy"")",Circuit Board
ICs,OPA1678,1,0,1,1,Socket Recommended,OPA1678,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=OPA1678"", ""Buy"")",Circuit Board
ICs,TC1044SCPA,1,0,1,1,Socket Recommended,TC1044SCPA,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=TC1044SCPA"", ""Buy"")",Circuit Board
ICs,TL071,1,0,1,1,Socket Recommended,TL071,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=TL071"", ""Buy"")",Circuit Board
Transistors,Germanium PNP,0,0,0,0,,Germanium PNP,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=Germanium+PNP"", ""Buy"")",Hardware Kit
Transistors,NKT275,2,0,2,3,,NKT275,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=NKT275"", ""Buy"")",Circuit Board
Transistors,2N3904,3,0,3,4,,2N3904,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=2N3904"", ""Buy"")",Circuit Board
Transistors,2N5088,1,0,1,2,,2N5088,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=2N5088"", ""Buy"")",Circuit Board
Transistors,2N5457,1,0,1,2,⚠️ Obsolete part! Check for speciality vendors or consider MMBF5457.,2N5457,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=2N5457"", ""Buy"")",Circuit Board
Diodes,LED,3,0,3,10,,LED 3mm,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=LED+3mm"", ""Buy"")",Hardware Kit
Diodes,1N4001,1,0,1,10,,1N4001,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=1N4001"", ""Buy"")",Circuit Board
Diodes,1N4148,2,0,2,10,"💡 TRY: 1N4001 (Smooth / Tube-like: Slow reverse recovery (30µs) smears highs), IR LED (The 'Goldilocks' Drive: 1.2V drop: More crunch than LED, more headroom than Si), Red LED (Amp-like / Open: 1.8V drop: Huge headroom, loud output)",1N4148,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=1N4148"", ""Buy"")",Circuit Board
Diodes,1N5817,2,0,2,10,,1N5817,"=HYPERLINK(""https://www.taydaelectronics.com/catalogsearch/result/?q=1N5817"", ""Buy"")",Circuit Board
